"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC11001456.hg.1",7.01058285838997,7.05551053877003,6.92259281521249,7.0233450583976,6.968562063864,6.69913529375319,6.87650315718322,6.89041491270315,6.6636469967039,6.6301372561316,6.73676586957716,6.88353542402847
"TC02000705.hg.1",5.98996819033104,6.11090744840911,6.24818230273198,5.52493018187183,5.72155221043557,5.99847847351301,6.64343824131767,6.32057596472111,6.93240200280701,6.41278617304477,6.37773591414314,6.19804363558403
"TC21000717.hg.1",3.76753634237448,3.51562073937391,3.54963273970212,3.70123967513128,3.8195655587763,3.57386006208474,3.50682140719048,3.75175161420561,3.3900637901929,3.45291973316195,3.33509589281549,3.76982543517809
"TC17000812.hg.1",6.22783528841749,5.98618405534616,6.1090079333785,5.40196059603425,5.37507534699138,5.33800116421947,6.05929149872758,5.79482952992814,6.25046366714092,5.79752314592276,5.9489627993548,5.79078038892906
"TC10001439.hg.1",7.02185926501874,6.92638863799447,6.99556940216806,6.56377539066933,6.49765975734464,6.49392327374223,5.68079236043313,5.69405018904292,5.64010078342461,5.54894204781334,5.56217487782877,5.60930730587877
"TC09001771.hg.1",7.56160028346862,7.5559258042007,7.48222593714809,7.63815890290582,7.58946003190272,7.34847860916452,7.45761464278878,7.50344374276414,7.19174077351022,7.26167813604585,7.24389515243533,7.48393942050437
"TC03001495.hg.1",9.55093703315276,9.53760805214995,9.62652702507429,9.69090178569918,9.6992840979016,9.82715237677736,9.64285912576832,9.53438827939023,9.74016994128322,9.95704363521237,9.92780452552835,9.88158691446322
"TC19001595.hg.1",7.79143079774209,7.69069883038643,7.70374877918505,7.89017183742464,7.85588636381061,7.82394315906992,7.50664333098497,7.52990003666575,7.39095194077442,7.32879233067213,7.25643643807536,7.4029958579917
"TC01004175.hg.1",7.70358251950194,7.65750531329034,7.76592061800957,7.09521627869451,7.11696820893288,7.63508474882997,8.03272427969986,7.95196476254399,8.11681083277432,8.01674937477149,8.019474020785,7.8295637931259
"TC21000541.hg.1",7.731957525129,7.80090334581151,7.64220743087964,7.89901577779104,7.85483482489533,7.49912389021195,7.77670942421917,7.8522827793941,7.33104090635677,7.55676081760117,7.58700538327951,7.50550174911367
