"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"ID4",5.67211654464168,5.48539814719053,5.51557965692417,5.96313083621469,5.96564152621761,5.78078821489195,6.29094409852192,6.37610401732565,6.20719764539274,7.15941586129539,7.20077245211242,7.24547972171595
"IFITM4P",6.33371343448643,6.40369802475545,5.88514768223495,8.72551269019089,8.65705319011365,8.65297557979192,6.53161629074162,6.73127961914064,6.71328758678788,8.75194291448352,9.13977226375457,8.85492589474458
"ACER2",5.49067639672272,5.36453186296418,5.66511470040956,5.73982042466493,5.7091673625161,5.73484849894701,4.51509312935749,4.70963025175169,4.3108927992048,4.69754616183594,4.67740344060114,4.74576269395549
"IFI16",4.32717577278657,5.20787048416581,5.05225986766103,8.85823489941118,8.70961916674637,9.29290024159922,5.0570852171161,4.62254091295598,4.84399610321052,9.02092850188963,9.0171856855747,8.76037178656602
"IFI27",6.07516466776451,6.202164764092,5.77202848336232,9.93459697728795,10.1616533554744,10.2711824116251,6.28138012572533,6.26586146466645,5.81933845619955,10.7616657642001,10.8778538518538,10.6356292109972
"IFI35",7.63892109908959,7.52440268104553,7.58393949133434,9.94453502977826,10.0254995424661,10.1610005360355,7.63254096826672,7.54585832418334,7.59858564196493,10.55229179261,10.574346831315,10.4266761518945
"SP110",6.14668058575601,6.09312320981657,6.13412760508871,8.79080851704668,8.77265999317009,9.08684646049241,5.93795927163289,5.77067621378333,5.93923053059179,9.01852458634505,9.021364692004,8.83084874033787
"IFIT2",5.11854799004363,5.34009396602549,5.23695698988658,10.2997361398957,10.3743821842689,10.6829393044472,5.17055347619144,5.72085012188768,5.29139606661148,10.058191708849,10.0738940655857,9.81279447133914
"IFIT1",4.25894463898816,3.8610590698283,3.92407593641229,9.36680710518341,9.17682358346994,9.38140819479618,3.96697768312754,3.64022774466925,3.82588559730413,10.073561309154,10.0992189868504,9.90522114484032
"KCNT2",3.4752635205806,3.45857287199218,3.43534215118124,3.62123370912455,3.61782543558177,3.53298574265536,4.35572438444547,4.30521826755183,4.42171217005378,5.2137704580004,5.24894983742575,4.82652678805189
"IFIT3",6.57176590508329,6.45498325626062,6.08600026168866,9.88162001414711,9.89432448870921,10.0176530606581,6.40490156985574,5.81389796432796,5.89441082087873,10.6003489016382,10.8188230204553,10.4737096567426
"IFNB1",4.09987150895942,3.98244883340025,4.24981123708798,6.37564381128966,6.3939366991815,7.18267902145306,4.42550182855997,3.96263355872476,3.77929340075568,6.14138023758902,6.20317368479192,5.65293002385082
"IGFBPL1",5.21710202894944,5.5209981993226,5.66390717575381,5.38661573987303,5.42245105114951,5.27613497128392,6.3446661410169,6.462270718963,6.74783255079712,6.49861865884317,6.447656445545,6.12235831246866
"IGFBP6",8.21269072438992,8.26753640998024,8.1645265241582,8.850753764577,8.98103190196388,8.85030567497162,7.78225505158084,7.87544809281216,7.81416851672955,7.87961770020597,7.90047169670897,7.87060853507378
"APOH",6.34535085185493,6.38163001192698,6.4669171031472,5.09873315625186,5.24611976597628,5.43150611649955,10.0619024769181,9.97517470406358,10.3124422396406,9.94136369097898,9.96911660126086,9.84479259359277
"CASTOR3",8.27225978000915,8.27715739778608,8.34665788955158,7.27711331583115,7.4334222973306,7.44522706829341,8.91920465418751,8.96451223385906,9.1531010431574,8.51602649149762,8.58478556046536,8.36538279536237
"GPR141",4.82994702263968,4.71377353362677,4.86824005199174,4.75365636956214,4.78559372653842,4.76443862753943,6.12329053565441,6.21926055499796,6.49898334930058,6.60825631815505,6.70606188355204,6.42475077350714
"FAS",7.75903271984184,7.61864167014792,7.77653239698783,8.95095977494269,8.81807780735402,9.15594356791673,6.56373858855211,6.59926870440921,6.40505379128211,7.51757784987779,7.57954731822527,7.48196743608153
"CXCL8",1.97844800406067,1.81632145262106,2.10085852587049,2.26886913372505,2.67206635697662,3.26796223454274,2.47149812346889,2.29863513282735,2.93990240371723,4.36062337052554,4.04489086675065,3.71167291519129
"RFLNB",8.28652832607673,8.32841352550376,8.55624713286262,6.96702819911173,6.89392302309737,7.22423127932638,7.83606158018737,7.65900873047044,8.17925626773348,6.8513161607331,6.9325038563712,6.81484002412269
"AQP3",7.44778034852948,7.33377132193676,7.31693251679971,7.31241763456684,7.43685645717063,7.10985404659816,8.87641283519366,8.89447806962301,8.98136112913267,8.6129197816912,8.69507204343428,8.63815804416724
"IL15",4.29223649716432,4.39936256310692,4.08421258054821,4.91637784839658,4.91235849293696,5.00400794912608,5.15198536900983,5.09961282093126,5.31000027954634,5.97237500913147,5.97089490987537,5.90632432449568
"IDO1",4.83535588393893,4.83669505774799,4.89792398786447,6.61606768829926,6.81583807985965,7.05710598150643,4.70473326727514,4.82000302902725,4.82921446608274,6.9663510678607,6.99628294533689,6.93879027236641
"CXCL10",4.2948749891256,4.06801577824759,4.11930888386406,7.54639383527856,7.74117329936182,8.17057121961409,4.44903243079858,4.51473798436292,4.13852804037919,6.01167758843461,5.86788637622052,5.89644120945602
"INSL4",6.20386840519522,6.14325974679124,6.3625607638046,6.20934011858671,6.25275178078457,6.14568217273151,8.7305432093628,8.76492230966834,9.17274064647712,9.06335234404946,9.00590310725702,8.86887251574672
"IRF1",6.62808052867594,6.76266712189874,6.80431187951897,7.8812513761021,7.88797715342497,7.879576488837,6.60034596548128,6.74165486831525,6.53439418968023,7.96839391566392,8.06349082012264,7.91512226408829
"IRF2",7.55784843633247,7.42091521509829,7.56634353452705,8.38449262595446,8.34984380725308,8.56242704819521,7.63783118355471,7.4478459785464,7.76711551767387,8.95244136473358,8.94162608372713,8.79613508000312
"IRF7",7.738269208483,7.79005841317371,7.68994609993993,8.53544613363185,8.61334295396617,8.51245553015024,7.56810411267202,7.70398865746524,7.41880845474145,8.64200755417547,8.79658730186312,8.72795788651265
"ITGA2",8.03015400163991,7.93805185457897,8.04535392629981,9.22082295806226,9.10119512589375,9.42186408495307,7.94275169026952,7.81541572536925,8.17795770167609,9.01930650928677,8.91754813789831,8.8562360932513
"ITIH2",5.03713852312885,5.03449685363625,5.0045746045864,4.95230287129597,5.06773053937628,4.74620648450341,6.17868986455705,6.2196030049611,6.49972293778881,6.42749153604589,6.32619892544745,6.09178171366696
"JAK2",6.34982061428433,6.34313786967603,6.416185280861,7.2720258435653,7.31704849857917,7.70766059454027,6.62601698222873,6.43488875297987,6.88133637043419,7.83124804635463,7.6924599218438,7.56130484860832
"USP41",7.06414606962211,6.91491689121591,7.02732286090586,9.21228138453919,9.31316434971466,9.62245583487143,7.08440934616043,6.94962089731438,7.10826943099414,9.82753577017007,9.88889985779286,9.69401152287979
"KCNJ2",6.28814668604399,6.18468542205327,6.23481531220953,6.63235511605825,6.39636335801728,6.79079669955924,7.0936641043612,7.09134993974377,7.25960392191889,7.93102895260763,8.0241907917642,7.81015143451645
"KCNMA1",7.02185926501874,6.92638863799447,6.99556940216806,6.56377539066933,6.49765975734464,6.49392327374223,5.68079236043313,5.69405018904292,5.64010078342461,5.54894204781334,5.56217487782877,5.60930730587877
"C12orf75",7.32549997975178,7.58171834102883,7.6329555546702,7.38813016473854,7.43395760593677,7.77805207676917,6.33890294607641,6.24286127927023,6.61291177838209,6.57865268419572,6.44685230011125,6.32099653819193
"LAMC2",8.13864096072424,7.88872114222203,8.04801152738853,8.56355205936153,8.41153656923522,8.69996862080643,7.14648548669125,7.05383793477346,7.11769553772008,7.14197577450058,7.14288740641444,7.05986046469373
"LGALS3BP",7.7321119635337,7.75011283840887,7.70189490693774,9.52465896808669,9.66603748644614,9.74553536064191,7.66186655104333,7.69264010690416,7.58392839324187,10.029687519401,10.0873505175192,9.88552140685216
"LGALS9",6.67591506234429,6.56506434745906,6.50957867557638,7.0888910363176,7.1315970743019,6.92365599141572,6.42356247824801,6.55689760451841,6.3423801712435,7.96974444709756,8.08124092695454,7.88399544243282
"LIFR",5.58571226285348,5.39901481809871,5.62386456834152,5.70194702053681,5.71463620029181,5.999408510754,5.66074836997098,5.60292739896495,5.83741013810654,6.93250599814445,6.84082269156647,6.79699809264289
"XKRX",4.94513157387796,4.75331434016216,4.85225708742772,5.03687766274561,4.95002914174317,4.91032245041187,5.8689490740413,5.93717244878456,6.21775621984024,6.20918917353477,6.14525818231197,6.06129857364471
"LRP6",7.13501213896084,7.19213207945149,7.28160443340962,6.4145824958605,6.53294906192018,6.57515399648578,7.59051762917735,7.5362240739519,7.95706838695797,7.74071698416019,7.66750490581786,7.37638899462158
"MXD1",6.69282890442218,6.60759322571482,6.63510099223227,7.58600978907072,7.59344104440041,7.77558151868334,6.56609658475197,6.54137859484813,6.57335521196831,6.87367640071457,6.91290763512045,6.89353695529035
"STS",6.44053423630525,6.46719333536754,6.39984315666358,6.74295517565356,6.77682997486592,6.71083712599381,7.17897703755143,7.15676706614475,7.28857575840638,8.05036146147705,8.04164852237534,7.89837122453592
"MAOA",4.93908006448306,4.93910585091339,4.86456749535258,5.01984888766915,5.03484282774567,4.91920154179013,6.07997839103021,6.11710511397721,6.33632064016144,5.69149629953476,5.87974937445534,5.71238770215035
"MAP2",4.86158702151718,4.94331648213242,4.86413099649629,5.28535224589198,5.28639261097366,5.36876180977256,5.44003895016885,5.4478056849609,5.45909962970512,6.35129635662906,6.49896922683175,6.18698178802312
"MDM2",9.06243359206261,9.10273481830216,9.21513351017867,9.61376271815615,9.68541767372705,10.0069407634567,8.15320772453413,8.05066815740827,8.43848779572471,8.3076541643153,8.34949380686077,8.23191042530759
"MIA2",3.34787956048689,3.29496277266978,3.36400559339453,3.38624063988118,3.45129252159416,3.53986719306513,3.69578750842802,3.55901542945241,3.9889392469349,4.52363357373416,4.70632098608414,4.37959764325165
"MMP7",6.80250636550034,6.77828110849386,6.90551919858779,6.70588766694879,6.7243372119887,6.98901919454985,7.89738810586813,7.76438874809433,8.07258398056472,8.13894804143462,8.12180913403613,7.97200294723456
"MOV10",7.41615690586148,7.38284121269832,7.44660722838175,8.05740359897803,8.07927867703462,8.13035016791206,7.30071703736099,7.34195130440891,7.38565122293405,8.46395052391434,8.5637763571999,8.28486119642219
"MSH4",2.87255253155392,2.78827567056771,2.77353377863886,3.9815183081374,3.83409743314773,4.32179777444009,2.84486844844329,2.91914220671995,2.92528440598455,3.6371037988698,3.59343908423834,3.41095391440598
